date,soil_surface_moisture,soil_rootzone_moisture
2019-01-02,25.399999618530273,137.23440875838287
2019-01-05,25.399999618530273,137.23440875838287
2019-01-08,25.399999618530273,137.23440875838287
2019-01-11,25.399999618530273,137.23440875838287
2019-01-14,25.399999618530273,137.23440875838287
2019-01-17,25.399999618530273,137.23440875838287
2019-01-20,25.399999618530273,137.23440875838287
2019-01-23,25.399999618530273,137.23440875838287
2019-01-26,25.399999618530273,137.23440875838287
2019-01-29,25.399999618530273,137.23440875838287
2019-02-01,25.399999618530273,137.23440875838287
2019-02-04,25.399999618530273,137.23440875838287
2019-02-07,25.399999618530273,137.23440875838287
2019-02-10,25.399999618530273,137.23440875838287
2019-02-13,25.399999618530273,137.23440875838287
2019-02-16,25.399999618530273,137.23440875838287
2019-02-19,25.399999618530273,137.23440875838287
2019-02-22,25.399999618530273,137.23440875838287
2019-02-25,25.399999618530273,137.23440875838287
2019-02-28,25.399999618530273,137.23440875838287
2019-03-03,25.399999618530273,137.23440875838287
2019-03-06,25.399999618530273,137.23440875838287
2019-03-09,25.399999618530273,137.23440875838287
2019-03-12,25.399999618530273,137.23440875838287
2019-03-15,25.399999618530273,137.23440875838287
2019-03-18,25.399999618530273,137.23440875838287
2019-03-21,25.399999618530273,137.23440875838287
2019-03-24,25.399999618530273,137.23440875838287
2019-03-27,25.399999618530273,137.23440875838287
2019-03-30,25.399999618530273,137.23440875838287
2019-04-02,25.399999618530273,137.23440875838287
2019-04-05,25.399999618530273,137.23440875838287
2019-04-08,25.399999618530273,137.23440875838287
2019-04-11,25.399999618530273,137.23440875838287
2019-04-14,25.399999618530273,137.23440875838287
2019-04-17,25.399999618530273,137.23440875838287
2019-04-20,25.399999618530273,137.23440875838287
2019-04-23,25.399999618530273,137.23440875838287
2019-04-26,25.399999618530273,137.23440875838287
2019-04-29,25.399999618530273,137.23440875838287
2019-05-02,25.399999618530273,137.23440875838287
2019-05-05,25.399999618530273,137.23440875838287
2019-05-08,25.399999618530273,137.23440875838287
2019-05-11,25.399999618530273,137.23440875838287
2019-05-14,25.399999618530273,137.23440875838287
2019-05-17,25.399999618530273,137.23440875838287
2019-05-20,25.399999618530273,137.23440875838287
2019-05-23,25.399999618530273,137.23440875838287
2019-05-26,25.399999618530273,137.23440875838287
2019-05-29,25.399999618530273,137.23440875838287
2019-06-01,25.399999618530273,137.23440875838287
2019-06-04,25.399999618530273,137.23440875838287
2019-06-07,25.399999618530273,137.23440875838287
2019-06-10,25.399999618530273,137.23440875838287
2019-06-13,25.399999618530273,137.23440875838287
2019-06-16,25.399999618530273,137.23440875838287
2019-06-19,25.399999618530273,137.23440875838287
2019-06-22,25.399999618530273,137.23440875838287
2019-06-25,25.399999618530273,137.23440875838287
2019-06-28,25.399999618530273,137.23440875838287
2019-07-01,25.399999618530273,137.23440875838287
2019-07-04,25.399999618530273,137.23440875838287
2019-07-07,25.399999618530273,137.23440875838287
2019-07-10,25.399999618530273,137.23440875838287
2019-07-13,25.399999618530273,137.23440875838287
2019-07-16,25.399999618530273,137.23440875838287
2019-07-19,25.399999618530273,137.23440875838287
2019-07-22,25.399999618530273,137.23440875838287
2019-07-25,25.399999618530273,137.23440875838287
2019-07-28,25.399999618530273,137.23440875838287
2019-07-31,25.399999618530273,137.23440875838287
2019-08-03,25.399999618530273,137.23440875838287
2019-08-06,25.399999618530273,137.23440875838287
2019-08-09,25.399999618530273,137.23440875838287
2019-08-12,25.399999618530273,137.23440875838287
2019-08-15,25.399999618530273,137.23440875838287
2019-08-18,25.399999618530273,137.23440875838287
2019-08-21,25.399999618530273,137.23440875838287
2019-08-24,25.399999618530273,137.23440875838287
2019-08-27,25.399999618530273,137.23440875838287
2019-08-30,25.399999618530273,137.23440875838287
2019-09-02,25.399999618530273,137.23440875838287
2019-09-05,25.399999618530273,137.23440875838287
2019-09-08,25.399999618530273,137.23440875838287
2019-09-11,25.399999618530273,137.23440875838287
2019-09-14,25.399999618530273,137.23440875838287
2019-09-17,25.399999618530273,137.23440875838287
2019-09-20,25.399999618530273,137.23440875838287
2019-09-23,25.399999618530273,137.23440875838287
2019-09-26,25.399999618530273,137.23440875838287
2019-09-29,25.399999618530273,137.23440875838287
2019-10-02,25.399999618530273,137.23440875838287
2019-10-05,25.399999618530273,137.23440875838287
2019-10-08,25.399999618530273,137.23440875838287
2019-10-11,25.399999618530273,137.23440875838287
2019-10-14,25.399999618530273,137.23440875838287
2019-10-17,25.399999618530273,137.23440875838287
2019-10-20,25.399999618530273,137.23440875838287
2019-10-23,25.399999618530273,137.23440875838287
2019-10-26,25.399999618530273,137.23440875838287
2019-10-29,25.399999618530273,137.23440875838287
2019-11-01,25.399999618530273,137.23440875838287
2019-11-04,25.399999618530273,137.23440875838287
2019-11-07,25.399999618530273,137.23440875838287
2019-11-10,25.399999618530273,137.23440875838287
2019-11-16,25.399999618530273,137.23440875838287
2019-11-19,25.399999618530273,137.23440875838287
2019-11-22,25.399999618530273,137.23440875838287
2019-11-25,25.399999618530273,137.23440875838287
2019-11-28,25.399999618530273,137.23440875838287
2019-12-01,25.399999618530273,137.23440875838287
2019-12-04,25.399999618530273,137.23440875838287
2019-12-07,25.399999618530273,137.23440875838287
2019-12-10,25.399999618530273,137.23440875838287
2019-12-13,25.399999618530273,137.23440875838287
2019-12-22,25.399999618530273,137.23440875838287
2019-12-28,25.399999618530273,137.23440875838287
2019-12-31,25.399999618530273,137.23440875838287
2020-01-03,25.399999618530273,137.23440875838287
2020-01-06,25.399999618530273,137.23440875838287
