date,precip_mm_sum,soil_surface_moisture,soil_rootzone_moisture,ndvi,t2m_mean,t2m_max,t2m_min,month,t2m_mean_anomaly_clim,t2m_mean_ratio_clim,t2m_mean_anomaly_roll,delta_t2m_mean_5d,delta_t2m_mean_10d,precip_mm_sum_anomaly_clim,precip_mm_sum_ratio_clim,precip_mm_sum_anomaly_roll,delta_precip_mm_sum_5d,delta_precip_mm_sum_10d,ndvi_zscore,ndvi_anomaly_roll,delta_ndvi_5d,delta_ndvi_10d,soil_deficit_index,soil_surface_moisture_anomaly_roll,delta_soil_surface_moisture_5d,delta_soil_surface_moisture_10d,soil_clay_pct,soil_silt_pct,soil_sand_pct,soil_soc_gkg,soil_ph,soil_bulk_density,soil_data_source,topo_elevation_m,topo_data_source,phen_planting_doy__soybean,phen_flowering_doy__soybean,phen_harvest_doy__soybean,phen_planting_doy__vegetables,phen_flowering_doy__vegetables,phen_harvest_doy__vegetables
2019-01-02,44.19096119992478,25.218295350703,139.81758944056202,0.4669004295012314,6.6,6.6,4.0,1,-11.240983606557377,0.36993476063585407,-8.98,,,41.63207407872753,17.269601630277755,39.053513665545324,,,-0.7284155200688994,0.0,,,0,2.9773240463608346,,,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,130.0,Open_Elevation_API,,,,,,
2019-01-03,24.710915864318974,24.20231509088526,139.01580725958914,0.4669004295012314,11.7,11.7,3.7,1,-6.140983606557377,0.655793439309014,-4.21875,,,22.152028743121726,9.656899540280328,19.894558800838233,,,-0.7284155200688994,0.0,,,0,2.095664840752139,,,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,130.0,Open_Elevation_API,,,,,,
2019-01-04,0.0,23.18633483106752,138.21402507861626,0.4669004295012314,16.7,16.7,2.2,1,-1.140983606557377,0.9360470458513278,0.5764705882352921,,,-2.55888712119725,0.0,-4.533041942099519,,,-0.7284155200688994,0.0,,,0,1.2158652466224815,,,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,130.0,Open_Elevation_API,,,,,,
2019-01-05,0.0,22.17035457124978,137.41224289764338,0.4669004295012314,20.2,20.2,2.1,1,2.359016393442623,1.1322245704309473,3.977777777777778,,,-2.55888712119725,0.0,-4.281206278649545,,,-0.7284155200688994,0.0,,,0,0.33761532872536293,,,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,130.0,Open_Elevation_API,,,,,,
2019-01-06,0.0,21.751273238976456,135.28288807879255,0.4669004295012314,20.6,20.6,8.0,1,2.759016393442625,1.1546448589543326,4.647368421052631,,,-2.55888712119725,0.0,-4.0558796324048325,,,-0.7284155200688994,0.0,,,0,0.05756932888426647,,,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,130.0,Open_Elevation_API,,,,,,
2019-01-07,0.0,21.33219190670313,133.15353325994175,0.4669004295012314,23.0,23.0,16.9,1,5.159016393442624,1.289166590094643,6.965,16.4,,-2.55888712119725,0.0,-3.853085650784591,-44.19096119992478,,-0.7284155200688994,0.0,0.0,,0,-0.2618091709584611,-3.8861034439998683,,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,130.0,Open_Elevation_API,,,,,,
2019-01-08,0.0,20.913110574429805,131.02417844109092,0.4669004295012314,22.3,22.3,12.5,1,4.459016393442624,1.249931085178719,6.0047619047619065,10.600000000000001,,-2.55888712119725,0.0,-3.6749826050078234,-24.710915864318974,,-0.7284155200688994,0.0,0.0,,0,-0.6149012422311522,-3.289204516455456,,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,130.0,Open_Elevation_API,,,,,,
2019-01-09,0.0,21.530591919406703,130.37691871582646,0.4669004295012314,18.8,18.8,9.1,1,0.9590163934426243,1.0537535605990995,2.4636363636363647,2.1000000000000014,,-2.55888712119725,0.0,-3.978290673865122,0.0,,-0.7284155200688994,0.0,0.0,,0,0.03945309751141224,-1.6557429116608162,,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,130.0,Open_Elevation_API,,,,,,
2019-01-10,0.0,22.1480732643836,129.729658990562,0.4669004295012314,13.8,13.8,5.8,1,-4.040983606557376,0.7734999540567858,-2.46521739130435,-6.399999999999999,,-2.55888712119725,0.0,-3.8053215141318555,0.0,,-0.7284155200688994,0.0,0.0,,0,0.6551102527703563,-0.022281306866180017,,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,130.0,Open_Elevation_API,,,,,,
2019-01-11,0.0,22.7655546093605,129.08239926529754,0.4669004295012314,17.8,17.8,9.7,1,-0.04098360655737565,0.9977028392906369,1.7041666666666657,-2.8000000000000007,,-2.55888712119725,0.0,-3.646766451043028,0.0,,-0.7284155200688994,0.0,0.0,,0,1.236907371606133,1.0142813703840439,,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,130.0,Open_Elevation_API,,,,,,
2019-01-12,0.0,22.45915697975241,128.89876191954204,0.4669004295012314,15.5,15.5,12.3,1,-2.3409836065573764,0.8687861802811725,-0.5679999999999978,-7.5,8.9,-2.55888712119725,0.0,-3.500895793001307,0.0,-44.19096119992478,-0.7284155200688994,0.0,0.0,0.0,0,0.8650286838045389,1.1269650730492806,-2.7591383709505877,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,130.0,Open_Elevation_API,,,,,,
