date,ndvi_mean
2019-01-01,0.4475013370381217
2019-01-17,0.46690042950123145
2019-02-02,0.46229444946434967
2019-02-18,0.504862913850068
2019-03-06,0.5664323922924875
2019-03-22,0.5981746190564693
2019-04-07,0.6565586201940817
2019-04-23,0.6417463832994704
2019-05-09,0.6080956139405205
2019-05-25,0.6305926095804247
2019-06-10,0.6334400271839278
2019-06-26,0.643480706216376
2019-07-12,0.5695803237608629
2019-07-28,0.5306901523247785
2019-08-13,0.5084700716138986
2019-08-29,0.5134234095951025
2019-09-14,0.47005157817552534
2019-09-30,0.4541360773350598
2019-10-16,0.4542679484649948
2019-11-01,0.42315748938547504
2019-11-17,0.39778863642083784
2019-12-03,0.42737358380545354
2019-12-19,0.42984540841078017
2020-01-01,0.4470097362295504
2020-01-17,0.5019185473885468
2020-02-02,0.5286255777348687
2020-02-18,0.5358703767420503
2020-03-05,0.5612892802370603
2020-03-21,0.657311350588554
2020-04-06,0.6597933239611496
2020-04-22,0.6268976647509519
2020-05-08,0.6018328648769329
2020-05-24,0.6251491600962011
2020-06-09,0.5913744088872194
2020-06-25,0.6169572424980488
2020-07-11,0.5704542532600095
2020-07-27,0.5395681581896566
2020-08-12,0.4783972096724647
2020-08-28,0.558641352285638
2020-09-13,0.6425551026430201
2020-09-29,0.5661550289498128
2020-10-15,0.5066005451189958
2020-10-31,0.4326343519113241
2020-11-16,0.3927009760635169
2020-12-02,0.33662653599640746
2020-12-18,0.32853003325514185
2021-01-01,0.34983703053287984
2021-01-17,0.3908343707202862
2021-02-02,0.3848892285448892
2021-02-18,0.4355279624373083
2021-03-06,0.4641902698165302
2021-03-22,0.553808956782453
2021-04-07,0.5888147225114426
2021-04-23,0.6141100954342342
2021-05-09,0.5233804346828994
2021-05-25,0.5886067219059958
2021-06-10,0.6482164328971391
2021-06-26,0.6025957352732102
2021-07-12,0.6452990747833189
2021-07-28,0.6221153819280429
2021-08-13,0.6155669688546844
2021-08-29,0.543546331240265
2021-09-14,0.4913189476880083
2021-09-30,0.5231158256705352
2021-10-16,0.5696983116369563
2021-11-01,0.5528171251028662
2021-11-17,0.5092577649054438
2021-12-03,0.4719126968274889
2021-12-19,0.4710727181276477
2022-01-01,0.4148390025548159
2022-01-17,0.3669645482990596
2022-02-02,0.3675231443425699
2022-02-18,0.3728953553881648
2022-03-06,0.39060208871153573
2022-03-22,0.4943193730422402
2022-04-07,0.5318289290175431
2022-04-23,0.6013250800763867
2022-05-09,0.5610170206845537
2022-05-25,0.5607262930329362
2022-06-10,0.5105521636294994
2022-06-26,0.4962906205518444
2022-07-12,0.45084309591695376
2022-07-28,0.4304161320851368
2022-08-13,0.4048282640968855
2022-08-29,0.5928356345642567
2022-09-14,0.49156393474585985
2022-09-30,0.4612442930533689
2022-10-16,0.4718139762192217
2022-11-01,0.53030765627242
2022-11-17,0.5164774584684841
2022-12-03,0.484608356327667
2022-12-19,0.42538513998964256
2023-01-01,0.39910827905258234
2023-01-17,0.4302591068017218
2023-02-02,0.46691241661539024
2023-02-18,0.5126122690782902
2023-03-06,0.5565963212259394
2023-03-22,0.6199123863450489
2023-04-07,0.6214770878127788
2023-04-23,0.6260311924080736
2023-05-09,0.6004392223684902
2023-05-25,0.6001572242276385
2023-06-10,0.5896278641354141
2023-06-26,0.5568647776284569
2023-07-12,0.49624325753023996
2023-07-28,0.4478330202900959
2023-08-13,0.41182167971587025
2023-08-29,0.3986677273443092
2023-09-14,0.41031715306785027
2023-09-30,0.44534962798319
2023-10-16,0.4654484974186059
2023-11-01,0.5691786548996298
2023-11-17,0.5573743724418213
2023-12-03,0.5077624306930149
2023-12-19,0.5112341274989032
2024-01-01,0.49722552615491183
2024-01-17,0.460506495966691
2024-02-02,0.49923360216718765
2024-02-18,0.523555882996233
2024-03-05,0.5737439258144875
2024-03-21,0.6670495573624081
2024-04-06,0.641343038667531
2024-04-22,0.6827999781366646
2024-05-08,0.5992240924039447
2024-05-24,0.5874550027290969
2024-06-09,0.5721363859444758
2024-06-25,0.5859644908823795
2024-07-11,0.5840345753390754
2024-07-27,0.6134194799277769
2024-08-12,0.5628189253175945
2024-08-28,0.5380038765378897
2024-09-13,0.4806902315220418
2024-09-29,0.4534568198323418
2024-10-15,0.40100525736817555
2024-10-31,0.41987180554472764
2024-11-16,0.44537566800918676
2024-12-02,0.4094080534218901
2024-12-18,0.4222933163539089
2025-01-01,0.43171756338851874
2025-01-17,0.3962859802567013
2025-02-02,0.431739423311543
2025-02-18,0.4375118241135032
2025-03-06,0.46464399707616566
2025-03-22,0.4806572872185121
2025-04-07,0.5622051361260325
2025-04-23,0.5459159938721524
2025-05-09,0.5545936842475441
2025-05-25,0.5874640494111445
2025-06-10,0.6064815335067132
2025-06-26,0.6109417592036264
2025-07-12,0.595354180713481
2025-07-28,0.5535769633812052
2025-08-13,0.5238942630144209
2025-08-29,0.506395981732648
2025-09-14,0.444944803023564
2025-09-30,0.42139998516384186
