date,precip_mm_sum,soil_surface_moisture,soil_rootzone_moisture,ndvi,t2m_mean,t2m_max,t2m_min,precip_mm_sum_anomaly,soil_surface_moisture_anomaly,soil_rootzone_moisture_anomaly,ndvi_anomaly,t2m_mean_anomaly,t2m_max_anomaly,t2m_min_anomaly
2019-01-02,44.19096119992478,25.218295350703,139.81758944056202,0.4669004295012314,6.6,6.6,4.0,,,,,,,
2019-01-03,24.710915864318974,24.20231509088526,139.01580725958914,0.4669004295012314,11.7,11.7,3.7,,,,,,,
2019-01-04,0.0,23.18633483106752,138.21402507861626,0.4669004295012314,16.7,16.7,2.2,,,,,,,
2019-01-05,0.0,22.17035457124978,137.41224289764338,0.4669004295012314,20.2,20.2,2.1,,,,,,,
2019-01-06,0.0,21.751273238976456,135.28288807879255,0.4669004295012314,20.6,20.6,8.0,,,,,,,
2019-01-07,0.0,21.33219190670313,133.15353325994175,0.4669004295012314,23.0,23.0,16.9,,,,,,,
2019-01-08,0.0,20.913110574429805,131.02417844109092,0.4669004295012314,22.3,22.3,12.5,,,,,,,
2019-01-09,0.0,21.530591919406703,130.37691871582646,0.4669004295012314,18.8,18.8,9.1,,,,,,,
2019-01-10,0.0,22.1480732643836,129.729658990562,0.4669004295012314,13.8,13.8,5.8,,,,,,,
2019-01-11,0.0,22.7655546093605,129.08239926529754,0.4669004295012314,17.8,17.8,9.7,-0.4522846271075102,0.18035310476704008,-1.2631576534990747,,0.12652604939147236,0.12652604939147236,0.47872821794056214
2019-01-12,0.0,22.45915697975241,128.89876191954204,0.4669004295012314,15.5,15.5,12.3,-0.4289994651549527,-0.04441866445628624,-1.1570281612656044,,-0.30618621784789724,-0.30618621784789724,0.9297119377779688
2019-01-13,0.0,22.15275935014433,128.71512457378654,0.4669004295012314,12.1,12.1,4.1,-0.4090079345969026,-0.27143461975334665,-1.0845105036240625,,-0.9203343227225909,-0.9203343227225909,-0.731344698494483
2019-01-14,0.0,21.84636172053624,128.53148722803104,0.4669004295012314,9.7,9.7,3.4,-0.3915946669639174,-0.4968030166468769,-1.0329788942891143,,-1.2600796321557395,-1.2600796321557395,-0.8225331611916312
2019-01-15,8.159835951448065,21.261519292689982,127.30357465201612,0.4669004295012314,10.2,10.2,7.3,0.20385239297730506,-0.9216388338736816,-1.1940577970149737,,-1.0678203117113132,-1.0678203117113132,0.017630117351344062
