date,precip_mm_sum,soil_surface_moisture,soil_rootzone_moisture,ndvi,t2m_mean,t2m_max,t2m_min,month,t2m_mean_anomaly_clim,t2m_mean_ratio_clim,t2m_mean_anomaly_roll,delta_t2m_mean_5d,delta_t2m_mean_10d,precip_mm_sum_anomaly_clim,precip_mm_sum_ratio_clim,precip_mm_sum_anomaly_roll,delta_precip_mm_sum_5d,delta_precip_mm_sum_10d,ndvi_zscore,ndvi_anomaly_roll,delta_ndvi_5d,delta_ndvi_10d,soil_deficit_index,soil_surface_moisture_anomaly_roll,delta_soil_surface_moisture_5d,delta_soil_surface_moisture_10d,soil_clay_pct,soil_silt_pct,soil_sand_pct,soil_soc_gkg,soil_ph,soil_bulk_density,soil_data_source,topo_elevation_m,topo_data_source
2019-01-02,29.98213837579586,24.44960254819845,121.47848344438792,0.4504945828210729,14.4,14.4,9.5,1,-3.962295081967211,0.7842156950272298,-2.540000000000001,,,26.48712469172525,8.578546777212027,25.74796093798081,,,-1.5263115129845417,0.0,,,0,2.0990650698174136,,,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,26.0,Open_Elevation_API
2019-01-03,29.01489267957665,23.66109786786043,121.00989812113194,0.4504945828210729,12.8,12.8,7.6,1,-5.562295081967211,0.697080617801982,-4.412499999999998,,,25.51987899550604,8.301796588614005,25.045351331625042,,,-1.5263115129845417,0.0,,,0,1.3088205333644503,,,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,26.0,Open_Elevation_API
2019-01-04,0.0,22.87259318752241,120.54131279787596,0.4504945828210729,14.7,14.7,2.1,1,-3.662295081967212,0.8005535220069637,-2.741176470588236,,,-3.495013684070609,0.0,-3.744940617899654,,,-1.5263115129845417,0.0,,,0,0.5313756059978445,,,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,26.0,Open_Elevation_API
2019-01-05,0.0,22.08408850718439,120.07272747462,0.4504945828210729,20.0,20.0,4.4,1,1.6377049180327887,1.089188465315597,2.4111111111111114,,,-3.495013684070609,0.0,-3.87305284797328,,,-1.5263115129845417,0.0,,,0,-0.23540298046346564,,,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,26.0,Open_Elevation_API
2019-01-06,0.0,21.73437498179561,118.38632091789388,0.4504945828210729,21.5,21.5,8.5,1,3.1377049180327887,1.1708776002142667,4.315789473684209,,,-3.495013684070609,0.0,-3.669207961237844,,,-1.5263115129845417,0.0,,,0,-0.5544082301605471,,,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,26.0,Open_Elevation_API
2019-01-07,0.2613447941270805,21.38466145640684,116.69991436116774,0.4504945828210729,22.7,22.7,15.5,1,4.337704918032788,1.2362289081332025,5.569999999999997,8.299999999999999,,-3.233668889943529,0.07477647235495076,-3.2244027690488717,-29.72079358166878,,-1.5263115129845417,0.0,0.0,,0,-0.915187965568947,-3.06494109179161,,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,26.0,Open_Elevation_API
2019-01-08,0.0,21.034947931018063,115.01350780444162,0.4504945828210729,24.0,24.0,16.3,1,5.637704918032789,1.3070261583787164,6.614285714285714,11.2,,-3.495013684070609,0.0,-3.3197595839770973,-29.01489267957665,,-1.5263115129845417,0.0,0.0,,0,-1.3117744030156224,-2.626149936842367,,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,26.0,Open_Elevation_API
2019-01-09,0.0,21.61879215164593,115.68964502435476,0.4504945828210729,20.7,20.7,12.9,1,2.337704918032788,1.1273100616016427,3.1954545454545453,6.0,,-3.495013684070609,0.0,-4.391162136913511,0.0,,-1.5263115129845417,0.0,0.0,,0,-0.8057270643878098,-1.253801035876478,,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,26.0,Open_Elevation_API
2019-01-10,0.0,22.202636372273798,116.36578224426788,0.4504945828210729,14.9,14.9,5.9,1,-3.462295081967211,0.8114454066601198,-2.4565217391304355,-5.1,,-3.495013684070609,0.0,-4.200242044004228,0.0,,-1.5263115129845417,0.0,0.0,,0,-0.2792634087614445,0.11854786508940762,,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,26.0,Open_Elevation_API
2019-01-11,0.0,22.78648059290166,117.04191946418103,0.4504945828210729,18.6,18.6,8.6,1,0.23770491803279015,1.0129452727435053,1.3083333333333336,-2.8999999999999986,,-3.495013684070609,0.0,-4.025231958837385,0.0,,-1.5263115129845417,0.0,0.0,,0,0.26506452423864957,1.0521056111060503,,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,26.0,Open_Elevation_API
2019-01-12,1.4558647496635604,22.55364604079957,117.03250635972122,0.4504945828210729,17.7,17.7,14.1,1,-0.662295081967212,0.9639317918043032,0.4239999999999995,-5.0,3.299999999999999,-2.0391489344070486,0.4165548067233684,-2.4084547333562414,1.1945199555364798,-28.526273626132298,-1.5263115129845417,0.0,0.0,0.0,0,0.008434248597673388,1.1689845843927316,-1.8959565073988784,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,26.0,Open_Elevation_API
2019-01-13,0.0,22.32081148869748,117.0230932552614,0.4504945828210729,13.5,13.5,5.3,1,-4.862295081967211,0.7352022140880279,-3.776923076923076,-10.5,0.6999999999999993,-3.495013684070609,0.0,-3.8374538355093053,0.0,-29.01489267957665,-1.5263115129845417,0.0,0.0,0.0,0,-0.2460988638875108,1.2858635576794164,-1.3402863791629507,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,26.0,Open_Elevation_API
