date,precip_mm_sum
2019-07-27,0.10669298030383682
2019-07-28,2.997583394137379
2019-07-29,2.7782734688414545
2019-07-30,4.496869304488775
2019-07-31,14.483540242233385
2019-08-01,0.0
2019-08-02,0.0
2019-08-03,0.19498467362699318
2019-08-04,0.48664847810609346
2019-08-05,0.3082860513945178
2019-08-06,0.14052225887003694
2019-08-07,0.02473868376833255
2019-08-08,0.0793874180472597
2019-08-09,0.11378018275270536
2019-08-10,0.0
2019-08-11,0.0
2019-08-12,0.0
2019-08-13,0.0
2019-08-14,0.0
2019-08-15,14.8455786956673
2019-08-16,0.31155108090509037
2019-08-17,0.7335827966038927
2019-08-18,0.12020171750824395
2019-08-19,0.7322325165964284
2019-08-20,5.763114117078522
2019-08-21,0.14449136628261683
2019-08-22,0.48483357093646906
2019-08-23,7.720541652514436
2019-08-24,8.07143338462379
2019-08-25,9.097397917125017
2019-08-26,0.0
2019-08-27,3.5808976616860972
2019-08-28,0.39137028142141417
2019-08-29,9.589203909115977
2019-08-30,1.3021141163081709
2019-08-31,5.0990226975734805
2019-09-01,0.4883971139199874
2019-09-02,0.00021906336960301857
2019-09-03,0.05538764921678171
2019-09-04,0.0
2019-09-05,0.0
2019-09-06,0.0
2019-09-07,0.0
2019-09-08,0.0
2019-09-09,0.057139449884439496
2019-09-10,0.2156894290936639
2019-09-11,2.327135122366024
2019-09-12,2.922168900464373
2019-09-13,0.0
2019-09-14,0.10257889288848418
2019-09-15,0.0
2019-09-16,2.5875216319931855
2019-09-17,30.939152200891183
2019-09-18,59.39561544996486
2019-09-19,58.99943529607765
2019-09-20,4.89957478826524
2019-09-21,0.0
2019-09-22,0.053972994623904924
2019-09-23,0.0
2019-09-24,0.0
2019-09-25,0.0
2019-09-26,0.0
2019-09-27,1.7076950266177136
2019-09-28,0.0
2019-09-29,5.822351544868479
2019-09-30,0.0
2019-10-01,0.0
2019-10-02,0.0
2019-10-03,0.0
2019-10-04,0.16563182791703693
2019-10-05,0.0
2019-10-06,0.0
2019-10-07,0.0
2019-10-08,0.0
2019-10-09,0.0
2019-10-10,0.0
2019-10-11,0.34308710435452155
2019-10-12,0.0
2019-10-13,0.0
2019-10-14,0.0
2019-10-15,0.3972748253233415
2019-10-16,13.157308219505838
2019-10-17,14.287484895013998
2019-10-18,0.0
2019-10-19,0.0
2019-10-20,0.0
2019-10-21,46.47331605775272
2019-10-22,0.0
2019-10-23,0.0
2019-10-24,0.0
2019-10-25,13.429295925149088
2019-10-26,0.0
2019-10-27,0.0
2019-10-28,0.0
2019-10-29,13.258848129966347
2019-10-30,3.596603917524209
2019-10-31,22.996921276547784
2019-11-01,0.0
2019-11-02,0.0
2019-11-03,0.0
2019-11-04,0.012971643330988011
2019-11-05,0.49745475442474596
2019-11-06,0.0
2019-11-07,38.624579857638864
2019-11-08,1.8487335889557988
2019-11-09,0.0
2019-11-10,0.0
2019-11-11,3.763493773454611
2019-11-12,6.5437548951360505
2019-11-13,0.1318915638855936
2019-11-14,4.833647786285066
2019-11-15,0.09825807932249087
2019-11-16,0.0
2019-11-17,0.012921081120116947
2019-11-18,0.0
2019-11-19,0.0
2019-11-20,0.22353872347256362
2019-11-21,0.40854783309670645
2019-11-22,0.6912720071443453
2019-11-23,0.0
2019-11-24,0.0
2019-11-25,0.0
2019-11-26,0.0
2019-11-27,0.4524600022495392
2019-11-28,0.0166317150783538
2019-11-29,0.0
2019-11-30,0.0
2019-12-01,0.6596276629093757
2019-12-02,0.0
2019-12-03,0.0
2019-12-04,0.0
2019-12-05,0.0
2019-12-06,0.0
2019-12-07,0.0
2019-12-08,0.0
2019-12-09,1.8669685969633478
2019-12-10,2.16310004660429
2019-12-11,0.0
2019-12-12,0.04656110483753326
2019-12-13,0.05719088271595723
2019-12-14,0.43323631659930956
2019-12-15,0.0
2019-12-16,1.0500527307083205
2019-12-17,0.0
2019-12-18,0.0
2019-12-19,0.0
2019-12-20,0.27559591363246116
2019-12-21,6.2190195688298155
2019-12-22,0.0
2019-12-23,0.0
2019-12-24,0.0
2019-12-25,0.0
2019-12-26,0.0
2019-12-27,0.33248299566273026
2019-12-28,0.04139673000000039
2019-12-29,20.14598599529272
2019-12-30,0.4807221094893736
2019-12-31,0.0
2020-01-01,4.243630065126267
2020-01-02,0.14405695633505633
2020-01-03,1.83041519364087
2020-01-04,0.0
2020-01-05,0.0
2020-01-06,0.0
2020-01-07,0.0
2020-01-08,0.0
2020-01-09,0.9513935192649985
2020-01-10,3.579442315858904
2020-01-11,39.491535622748586
2020-01-12,0.0
2020-01-13,0.7323622997062299
2020-01-14,0.22981175935185957
2020-01-15,0.5400498322054849
2020-01-16,4.65387872779198
2020-01-17,0.15893742974675343
2020-01-18,11.459101309113237
2020-01-19,7.320869579874349
2020-01-20,0.0
2020-01-21,0.0
2020-01-22,5.308352801724697
2020-01-23,20.43146803546721
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.9039240235179568
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.8583887427276633
2020-02-04,6.372980955990093
2020-02-05,5.620351001934647
2020-02-06,5.34818492741848
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0012154435462199116
2020-02-10,0.12746410060311952
2020-02-11,9.939884108212903
2020-02-12,0.36204284469725173
2020-02-13,0.04144424194508422
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,1.6478224588886405
2020-02-17,0.9341736550377141
2020-02-18,0.6624690619337145
2020-02-19,0.11531994995527058
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0002349154919951063
2020-02-24,3.5185368870846054
2020-02-25,14.383358332762516
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0034834233082254415
2020-02-29,0.05391273812213354
2020-03-01,1.598514388206603
2020-03-02,0.09911307955562676
2020-03-03,4.945686808158032
2020-03-04,5.940273556555947
2020-03-05,0.5131646430047581
2020-03-06,0.0
2020-03-07,1.399557227765385
2020-03-08,0.0
2020-03-09,0.1461278805933801
2020-03-10,4.314503316071483
2020-03-11,0.013011319012920916
2020-03-12,0.17251502031504468
2020-03-13,2.8145902853883014
2020-03-14,0.08387327456323845
2020-03-15,0.8761089212592028
2020-03-16,2.6445589077665907
2020-03-17,0.3590358217181291
2020-03-18,0.00928478398612243
2020-03-19,0.3826504949976463
