date,ndvi_mean
2019-01-01,0.27548527356035646
2019-01-17,0.20751493939301027
2019-02-02,0.3812462646748926
2019-02-18,0.3680004446555351
2019-03-06,0.41280883718183986
2019-03-22,0.4566912185477057
2019-04-07,0.5684043365757091
2019-04-23,0.626215265432749
2019-05-09,0.6904370693833034
2019-05-25,0.7318200066882407
2019-06-10,0.7301226378421155
2019-06-26,0.7143413230906486
2019-07-12,0.6954243317720875
2019-07-28,0.6910990716078423
2019-08-13,0.6733251264787646
2019-08-29,0.6267432899066957
2019-09-14,0.5992007323620383
2019-09-30,0.5761716895526932
2019-10-16,0.5051521557976384
2019-11-01,0.4820240784113863
2019-11-17,0.5063725750704482
2019-12-03,0.5046723691396401
2019-12-19,0.4738738784767161
2020-01-01,0.46400889157636666
2020-01-17,0.4457526029675715
2020-02-02,0.4385179188407387
2020-02-18,0.44746444427590115
2020-03-05,0.4902135397969997
2020-03-21,0.5019061844585262
2020-04-06,0.5779983252801564
2020-04-22,0.6238479874151165
2020-05-08,0.6646829213708948
2020-05-24,0.682202293452025
2020-06-09,0.7029841372905941
2020-06-25,0.7302716446532821
2020-07-11,0.7164458392653361
2020-07-27,0.7261957977270403
2020-08-12,0.7120381068619182
2020-08-28,0.6697376103681196
2020-09-13,0.5990612059131187
2020-09-29,0.5790340659880969
2020-10-15,0.5566537352174501
2020-10-31,0.5316676282144812
2020-11-16,0.5161747876756079
2020-12-02,0.4023102881664252
2020-12-18,0.485002959283935
2021-01-01,0.44471146924716165
2021-01-17,0.3916294394699164
2021-02-02,0.3485263102107147
2021-02-18,0.403915794341206
2021-03-06,0.4249410636288212
2021-03-22,0.447600023507495
2021-04-07,0.5004761816207454
2021-04-23,0.6081514734384654
2021-05-09,0.6885282972441102
2021-05-25,0.7211726754833769
2021-06-10,0.7240555218852112
2021-06-26,0.6757019633795396
2021-07-12,0.6554221466103091
2021-07-28,0.6841809484969046
2021-08-13,0.650174138102375
2021-08-29,0.6344623203441432
2021-09-14,0.5865733501447083
2021-09-30,0.585993562900412
2021-10-16,0.5387409962264029
2021-11-01,0.46031607975080663
2021-11-17,0.46257256874244806
2021-12-03,0.42861798464918294
2021-12-19,0.42524056381915215
2022-01-01,0.4148155977411789
2022-01-17,0.3469888671945967
2022-02-02,0.38119199036435136
2022-02-18,0.40150196146915096
2022-03-06,0.3921566373086892
2022-03-22,0.42486659088934275
2022-04-07,0.5002430659808844
2022-04-23,0.6153057412591385
2022-05-09,0.6918750230350066
2022-05-25,0.7148626047470455
2022-06-10,0.7017847884565548
2022-06-26,0.6219689724028038
2022-07-12,0.5976709558107915
2022-07-28,0.5741340417483988
2022-08-13,0.5493210522321695
2022-08-29,0.5975968709079473
2022-09-14,0.6274189608441627
2022-09-30,0.6114042172395182
2022-10-16,0.48170705163363436
2022-11-01,0.5532152464704191
2022-11-17,0.5266448095562247
2022-12-03,0.48538627634142806
2022-12-19,0.528302710779521
2023-01-01,0.5030684046459039
2023-01-17,0.47359283996955676
2023-02-02,0.4346631285971066
2023-02-18,0.44587768434213865
2023-03-06,0.4894106840184841
2023-03-22,0.5373404783182872
2023-04-07,0.6027818281081113
2023-04-23,0.667787686619051
2023-05-09,0.7124749804600844
2023-05-25,0.7175107802390327
2023-06-10,0.7310806798344168
2023-06-26,0.6966558460401656
2023-07-12,0.6806887957160025
2023-07-28,0.6869198626110571
2023-08-13,0.6588100051052663
2023-08-29,0.6333509937818057
2023-09-14,0.5937106587964746
2023-09-30,0.5642926706504315
2023-10-16,0.534542940144867
2023-11-01,0.536851553042995
2023-11-17,0.48465611685633564
2023-12-03,0.44866665945256334
2023-12-19,0.463239451566567
2024-01-01,0.42151738598097854
2024-01-17,0.41048242264461304
2024-02-02,0.4212872854349692
2024-02-18,0.44743403997590586
2024-03-05,0.5196911926889706
2024-03-21,0.5773431385118502
2024-04-06,0.6523378835080346
2024-04-22,0.6930562393641501
2024-05-08,0.6985358773744712
2024-05-24,0.7199241532782908
2024-06-09,0.7158091510809251
2024-06-25,0.7008993564158572
2024-07-11,0.6707203345147971
2024-07-27,0.6383366561888806
2024-08-12,0.5905849866194152
2024-08-28,0.5375369079696143
2024-09-13,0.5561603219774967
2024-09-29,0.5982236459770185
2024-10-15,0.5747560535701067
2024-10-31,0.5194671619740474
2024-11-16,0.5060151233174298
2024-12-02,0.42458905676157926
2024-12-18,0.48282539798326124
2025-01-01,0.4446264927530173
2025-01-17,0.45582048267933506
2025-02-02,0.4264136371295067
2025-02-18,0.4172822228921541
2025-03-06,0.4749534437021667
2025-03-22,0.54326820732036
2025-04-07,0.6378372844985414
2025-04-23,0.6975925500305807
2025-05-09,0.7130915465439027
2025-05-25,0.7214995979230499
2025-06-10,0.6796195970605086
2025-06-26,0.626047296491427
2025-07-12,0.6480270446539449
2025-07-28,0.651074578663559
2025-08-13,0.608838133738784
2025-08-29,0.5900218554707337
2025-09-14,0.6043137380490784
2025-09-30,0.5681323159458251
