date,precip_mm_sum,soil_surface_moisture,soil_rootzone_moisture,ndvi,t2m_mean,t2m_max,t2m_min
2019-01-02,0.0,25.399999618530277,137.23440875838287,0.782602854920918,27.2,27.2,18.4
2019-01-03,0.6850070847880363,25.399999618530277,137.23440875838287,0.782602854920918,26.3,26.3,18.5
2019-01-04,2.775396781548133,25.399999618530277,137.23440875838287,0.782602854920918,26.7,26.7,18.9
2019-01-05,0.0,25.399999618530277,137.23440875838287,0.782602854920918,25.7,25.7,17.5
2019-01-06,0.0,25.399999618530277,137.23440875838287,0.782602854920918,25.4,25.4,16.9
2019-01-07,0.0294567589963833,25.399999618530277,137.23440875838287,0.782602854920918,26.0,26.0,18.2
2019-01-08,0.0247201182528344,25.399999618530277,137.23440875838287,0.782602854920918,25.6,25.6,18.1
2019-01-09,0.0,25.399999618530277,137.23440875838287,0.782602854920918,24.6,24.6,18.6
2019-01-10,0.0,25.399999618530277,137.23440875838287,0.782602854920918,24.3,24.3,18.0
2019-01-11,0.0,25.399999618530277,137.23440875838287,0.782602854920918,24.6,24.6,17.1
2019-01-12,3.5438008546341275,25.399999618530277,137.23440875838287,0.782602854920918,24.9,24.9,18.4
2019-01-13,0.0,25.399999618530277,137.23440875838287,0.782602854920918,24.7,24.7,17.3
2019-01-14,0.0,25.399999618530277,137.23440875838287,0.782602854920918,25.2,25.2,18.0
2019-01-15,0.0210564219920261,25.399999618530277,137.23440875838287,0.782602854920918,24.7,24.7,17.5
2019-01-16,0.0323585468987811,25.399999618530277,137.23440875838287,0.782602854920918,24.2,24.2,17.6
2019-01-17,0.809303112678762,25.399999618530277,137.23440875838287,0.782602854920918,24.0,24.0,17.8
2019-01-18,0.0,25.399999618530277,137.23440875838287,0.782602854920918,24.4,24.4,17.4
2019-01-19,0.0,25.399999618530277,137.23440875838287,0.782602854920918,25.0,25.0,17.0
2019-01-20,0.0,25.399999618530277,137.23440875838287,0.782602854920918,25.2,25.2,18.1
2019-01-21,0.0,25.399999618530277,137.23440875838287,0.782602854920918,25.0,25.0,18.5
2019-01-22,6.114177064140015,25.399999618530277,137.23440875838287,0.782602854920918,25.6,25.6,19.8
2019-01-23,0.0,25.399999618530277,137.23440875838287,0.782602854920918,26.1,26.1,18.8
2019-01-24,0.0,25.399999618530277,137.23440875838287,0.782602854920918,25.9,25.9,18.1
2019-01-25,0.0,25.399999618530277,137.23440875838287,0.782602854920918,26.6,26.6,17.0
2019-01-26,0.0,25.399999618530277,137.23440875838287,0.782602854920918,25.9,25.9,15.9
2019-01-27,0.0,25.399999618530277,137.23440875838287,0.782602854920918,24.9,24.9,17.9
2019-01-28,0.0,25.399999618530277,137.23440875838287,0.782602854920918,24.4,24.4,20.1
2019-01-29,0.0,25.399999618530277,137.23440875838287,0.782602854920918,24.6,24.6,19.1
2019-01-30,9.243205996426838,25.399999618530277,137.23440875838287,0.782602854920918,24.1,24.1,18.1
2019-01-31,2.659034260252672,25.399999618530277,137.23440875838287,0.782602854920918,24.5,24.5,19.4
2019-02-01,1.3084685639579468,25.399999618530277,137.23440875838287,0.782602854920918,25.7,25.7,17.0
2019-02-02,0.0246166719608215,25.399999618530277,137.23440875838287,0.7128512595562487,25.1,25.1,17.2
2019-02-03,4.654228926239371,25.399999618530277,137.23440875838287,0.7128512595562487,24.9,24.9,16.6
2019-02-04,0.0,25.399999618530277,137.23440875838287,0.7128512595562487,24.6,24.6,17.6
2019-02-05,0.1562139985389661,25.399999618530277,137.23440875838287,0.7128512595562487,25.2,25.2,17.3
2019-02-06,0.0,25.399999618530277,137.23440875838287,0.7128512595562487,24.8,24.8,18.7
2019-02-07,0.7206890065585668,25.399999618530277,137.23440875838287,0.7128512595562487,25.0,25.0,17.4
2019-02-08,1.0481145774373626,25.399999618530277,137.23440875838287,0.7128512595562487,25.4,25.4,19.3
2019-02-09,5.3513755079900855,25.399999618530277,137.23440875838287,0.7128512595562487,25.4,25.4,18.0
2019-02-10,0.2917581211926934,25.399999618530277,137.23440875838287,0.7128512595562487,26.1,26.1,19.1
2019-02-11,3.154157404894485,25.399999618530277,137.23440875838287,0.7128512595562487,26.9,26.9,17.7
2019-02-12,0.2755392359172306,25.399999618530277,137.23440875838287,0.7128512595562487,25.8,25.8,17.5
2019-02-13,0.0,25.399999618530277,137.23440875838287,0.7128512595562487,25.2,25.2,18.3
2019-02-14,6.169679910929135,25.399999618530277,137.23440875838287,0.7128512595562487,24.7,24.7,19.0
2019-02-15,0.0,25.399999618530277,137.23440875838287,0.7128512595562487,24.5,24.5,19.1
2019-02-16,7.102975462742592,25.399999618530277,137.23440875838287,0.7128512595562487,25.3,25.3,18.3
2019-02-17,0.0246306373738206,25.399999618530277,137.23440875838287,0.7128512595562487,26.8,26.8,19.2
2019-02-18,0.0,25.399999618530277,137.23440875838287,0.7435541277588612,26.9,26.9,17.7
2019-02-19,1.425938237469722,25.399999618530277,137.23440875838287,0.7435541277588612,27.2,27.2,17.7
2019-02-20,1.5588065057153555,25.399999618530277,137.23440875838287,0.7435541277588612,26.0,26.0,17.2
2019-02-21,17.509118979163784,25.399999618530277,137.23440875838287,0.7435541277588612,26.8,26.8,17.3
2019-02-22,0.0,25.399999618530277,137.23440875838287,0.7435541277588612,27.5,27.5,17.1
2019-02-23,0.0,25.399999618530277,137.23440875838287,0.7435541277588612,27.6,27.6,19.2
2019-02-24,0.0,25.399999618530277,137.23440875838287,0.7435541277588612,26.8,26.8,17.9
2019-02-25,0.0,25.399999618530277,137.23440875838287,0.7435541277588612,26.5,26.5,17.0
