date,precip_mm_sum,soil_surface_moisture,soil_rootzone_moisture,ndvi,t2m_mean,t2m_max,t2m_min,month,t2m_mean_anomaly_clim,t2m_mean_ratio_clim,t2m_mean_anomaly_roll,delta_t2m_mean_5d,delta_t2m_mean_10d,precip_mm_sum_anomaly_clim,precip_mm_sum_ratio_clim,precip_mm_sum_anomaly_roll,delta_precip_mm_sum_5d,delta_precip_mm_sum_10d,ndvi_zscore,ndvi_anomaly_roll,delta_ndvi_5d,delta_ndvi_10d,soil_deficit_index,soil_surface_moisture_anomaly_roll,delta_soil_surface_moisture_5d,delta_soil_surface_moisture_10d,soil_clay_pct,soil_silt_pct,soil_sand_pct,soil_soc_gkg,soil_ph,soil_bulk_density,soil_data_source,topo_elevation_m,topo_data_source,phen_planting_doy__arabicacoffee,phen_flowering_doy__arabicacoffee,phen_harvest_doy__arabicacoffee
2019-01-02,0.0,25.39999961853028,137.23440875838287,0.782602854920918,27.2,27.2,18.4,1,1.5360655737704896,1.0598530820824017,1.8599999999999994,,,-1.35113014683471,0.0,-0.4741197711406881,,,1.3760072256688114,0.0,,,0,0.0,,,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-01-03,0.6850070847880363,25.39999961853028,137.23440875838287,0.782602854920918,26.3,26.3,18.5,1,0.636065573770491,1.0247844139252635,1.0437499999999993,,,-0.6661230620466738,0.5069882323274342,0.18993835480121857,,,1.3760072256688114,0.0,,,0,0.0,,,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-01-04,2.775396781548133,25.39999961853028,137.23440875838287,0.782602854920918,26.7,26.7,18.9,1,1.0360655737704896,1.0403704886617693,1.4941176470588218,,,1.424266634713423,2.0541298616199555,2.30944974156054,,,1.3760072256688114,0.0,,,0,0.0,,,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-01-05,0.0,25.39999961853028,137.23440875838287,0.782602854920918,25.7,25.7,17.5,1,0.03606557377048958,1.0014053018205045,0.5055555555555564,,,-1.35113014683471,0.0,-0.44006109332161575,,,1.3760072256688114,0.0,,,0,0.0,,,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-01-06,0.0,25.39999961853028,137.23440875838287,0.782602854920918,25.4,25.4,16.9,1,-0.26393442622951113,0.989715745768125,0.2052631578947377,,,-1.35113014683471,0.0,-0.4168999831467939,,,1.3760072256688114,0.0,,,0,0.0,,,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-01-07,0.0294567589963833,25.39999961853028,137.23440875838287,0.782602854920918,26.0,26.0,18.2,1,0.3360655737704903,1.013094857872884,0.8150000000000013,-1.1999999999999993,,-1.3216733878383269,0.02180157038564463,-0.3665982249930709,0.0294567589963833,,1.3760072256688114,0.0,0.0,,0,0.0,0.0,,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-01-08,0.0247201182528344,25.39999961853028,137.23440875838287,0.782602854920918,25.6,25.6,18.1,1,-0.06393442622950829,0.9975087831363781,0.39523809523809916,-0.6999999999999993,,-1.3264100285818756,0.018295882384643827,-0.643626393362837,-0.6602869665352019,,1.3760072256688114,0.0,0.0,,0,0.0,0.0,,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-01-09,0.0,25.39999961853028,137.23440875838287,0.782602854920918,24.6,24.6,18.6,1,-1.0639344262295083,0.9585435962951134,-0.6454545454545446,-2.099999999999998,,-1.35113014683471,0.0,-0.6379671247240499,-2.775396781548133,,1.3760072256688114,0.0,0.0,,0,0.0,0.0,,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-01-10,0.0,25.39999961853028,137.23440875838287,0.782602854920918,24.3,24.3,18.0,1,-1.363934426229509,0.9468540402427339,-0.9739130434782588,-1.3999999999999986,,-1.35113014683471,0.0,-0.6102294236490913,0.0,,1.3760072256688114,0.0,0.0,,0,0.0,0.0,,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-01-11,0.0,25.39999961853028,137.23440875838287,0.782602854920918,24.6,24.6,17.1,1,-1.0639344262295083,0.9585435962951134,-0.7291666666666643,-0.7999999999999972,,-1.35113014683471,0.0,-0.5848031976637125,0.0,,1.3760072256688114,0.0,0.0,,0,0.0,0.0,,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
2019-01-12,3.5438008546341275,25.39999961853028,137.23440875838287,0.782602854920918,24.9,24.9,18.4,1,-0.7639344262295111,0.9702331523474927,-0.4519999999999982,-1.1000000000000014,-2.3000000000000007,2.1926707077994174,2.622841968951831,2.982389784876964,3.5143440956377443,3.5438008546341275,1.3760072256688114,0.0,0.0,0.0,0,0.0,0.0,0.0,25,35,40,15,6.5,1.3,Fallback_FAO_Defaults,,Fallback_None,273,175,19
