date,precip_mm_sum,soil_rootzone_moisture,soil_surface_moisture,t2m_max,t2m_mean,t2m_min
2019-03-28,0.0,,,24.1,22.1,19.9
2019-03-29,1.9407548093038298,,,24.2,21.7,19.7
2019-03-30,6.176986870925081,137.23440875838287,25.399999618530273,24.3,22.1,20.0
2019-03-31,0.0,,,26.2,22.2,17.6
2019-04-01,0.0,,,26.2,22.5,19.0
2019-04-02,0.0,137.23440875838287,25.399999618530273,26.0,22.7,19.7
2019-04-03,0.0,,,26.3,22.7,19.3
2019-04-04,6.673111571332489,,,25.5,22.8,20.4
2019-04-05,0.0,137.23440875838287,25.399999618530273,25.7,22.5,19.5
2019-04-06,0.0,,,26.2,22.6,18.6
2019-04-07,1.027394355940849,,,26.8,22.5,18.5
2019-04-08,1.589311530722267,137.23440875838287,25.399999618530273,26.3,22.4,18.7
2019-04-09,2.164202596996974,,,25.4,22.0,18.7
2019-04-10,0.0,,,25.2,22.4,20.2
2019-04-11,3.212037547942131,137.23440875838287,25.399999618530273,24.7,22.1,19.2
2019-04-12,0.0,,,27.2,23.6,20.8
2019-04-13,0.7616683539678776,,,27.1,22.8,18.6
2019-04-14,0.0,137.23440875838287,25.399999618530273,26.5,22.4,18.7
2019-04-15,0.6306569133164089,,,26.7,22.4,18.4
2019-04-16,0.0,,,25.6,22.5,19.9
2019-04-17,3.9111055606592586,137.23440875838287,25.399999618530273,25.2,22.0,18.7
2019-04-18,1.4653157783105306,,,25.8,22.7,19.1
2019-04-19,0.0,,,26.7,22.1,18.2
2019-04-20,0.0,137.23440875838287,25.399999618530273,26.4,22.4,18.1
2019-04-21,0.9790174532048177,,,25.3,22.0,18.5
2019-04-22,6.380704675103219,,,26.4,22.6,19.3
2019-04-23,1.1972000490630443,137.23440875838287,25.399999618530273,26.3,22.5,18.9
2019-04-24,1.1665037009883559,,,25.5,22.1,18.7
2019-04-25,0.23550905942940098,,,26.2,22.3,17.9
2019-04-26,0.0,137.23440875838287,25.399999618530273,27.3,22.8,18.8
2019-04-27,0.0,,,28.4,23.3,18.8
2019-04-28,0.0,,,28.4,23.5,19.2
2019-04-29,6.556424749976838,137.23440875838287,25.399999618530273,27.1,23.3,20.1
2019-04-30,16.530809964576946,,,28.2,23.5,19.9
2019-05-01,0.0,,,28.6,24.0,19.5
2019-05-02,0.0,137.23440875838287,25.399999618530273,28.9,24.1,19.1
2019-05-03,0.0,,,28.8,25.0,21.2
2019-05-04,0.0,,,28.1,23.9,19.6
2019-05-05,0.05030823687969877,137.23440875838287,25.399999618530273,28.5,23.8,19.7
2019-05-06,0.788990672621482,,,28.5,23.9,19.6
2019-05-07,0.0,,,27.3,23.9,19.1
2019-05-08,0.0,137.23440875838287,25.399999618530273,27.1,23.9,20.7
2019-05-09,0.0,,,26.7,23.9,20.6
2019-05-10,2.9012988402984976,,,26.9,23.3,20.4
2019-05-11,0.16194346069348578,137.23440875838287,25.399999618530273,27.8,24.1,20.5
2019-05-12,0.0,,,28.5,24.2,20.5
2019-05-13,0.0,,,28.3,24.6,20.8
2019-05-14,0.0,137.23440875838287,25.399999618530273,28.4,24.4,20.8
2019-05-15,0.0,,,29.7,25.1,21.4
2019-05-16,0.0,,,28.7,24.5,20.6
2019-05-17,0.0,137.23440875838287,25.399999618530273,27.6,24.3,20.4
2019-05-18,0.0,,,27.9,24.3,20.1
2019-05-19,0.0,,,28.2,24.5,21.3
2019-05-20,0.005048052834298059,137.23440875838287,25.399999618530273,27.8,24.2,21.1
2019-05-21,0.23551759124092625,,,28.1,24.8,20.5
2019-05-22,1.675599032914054,,,27.8,24.4,21.0
2019-05-23,9.22709575497306,137.23440875838287,25.399999618530273,26.8,23.7,20.9
2019-05-24,7.312238429585067,,,26.4,23.6,21.0
2019-05-25,17.58184692151202,,,27.0,23.4,20.5
2019-05-26,10.843576988506104,137.23440875838287,25.399999618530273,25.8,23.4,21.4
2019-05-27,2.871313430681852,,,26.6,23.9,21.1
2019-05-28,17.179609401778347,,,25.7,23.5,21.3
2019-05-29,4.604851459901522,137.23440875838287,25.399999618530273,24.4,23.2,21.9
2019-05-30,0.9245224027138288,,,25.3,23.0,21.1
2019-05-31,0.0,,,26.3,23.1,20.2
2019-06-01,1.7031281505826736,137.23440875838287,25.399999618530273,26.6,23.4,20.5
2019-06-02,0.0,,,27.4,23.6,20.1
2019-06-03,0.0,,,27.8,23.7,20.3
2019-06-04,0.0,137.23440875838287,25.399999618530273,28.4,24.1,20.7
2019-06-05,0.16483450512151343,,,28.3,24.5,20.8
2019-06-06,0.0,,,28.2,24.5,21.0
2019-06-07,0.0,137.23440875838287,25.399999618530273,27.6,24.6,21.7
2019-06-08,0.0,,,28.0,24.6,21.3
2019-06-09,0.6415250127792544,,,29.2,24.6,20.5
2019-06-10,0.0,137.23440875838287,25.399999618530273,30.2,25.3,20.8
2019-06-11,1.4227961755939749,,,28.3,24.7,20.4
2019-06-12,0.015708699439223043,,,29.6,25.0,20.2
2019-06-13,0.07181786207233345,137.23440875838287,25.399999618530273,28.2,24.7,20.9
2019-06-14,0.07666919541839921,,,28.5,24.8,20.4
2019-06-15,0.05559033077166985,,,28.7,24.8,21.2
2019-06-16,0.0,137.23440875838287,25.399999618530273,28.6,24.8,20.7
2019-06-17,0.0,,,30.3,25.4,20.9
2019-06-18,0.0,,,30.5,26.0,21.4
2019-06-19,0.0,137.23440875838287,25.399999618530273,31.0,25.7,20.8
2019-06-20,0.0,,,30.6,26.0,21.2
2019-06-21,3.536888530549221,,,30.2,26.8,22.4
2019-06-22,0.0,137.23440875838287,25.399999618530273,32.6,26.1,20.3
2019-06-23,0.0,,,29.9,25.3,20.1
2019-06-24,0.08370003776003795,,,27.9,25.0,21.1
2019-06-25,0.0,137.23440875838287,25.399999618530273,28.5,25.4,22.3
2019-06-26,0.0,,,29.3,24.6,20.1
2019-06-27,0.10670310834522728,,,28.3,24.9,21.5
2019-06-28,0.0,137.23440875838287,25.399999618530273,29.6,25.2,20.8
2019-06-29,0.24293747297702806,,,29.9,26.0,21.3
2019-06-30,0.0,,,30.9,26.2,21.6
2019-07-01,0.0,137.23440875838287,25.399999618530273,29.6,25.4,20.2
2019-07-02,0.0,,,28.3,25.1,21.0
2019-07-03,0.0,,,27.5,24.3,21.2
2019-07-04,0.0,137.23440875838287,25.399999618530273,28.2,25.2,21.2
2019-07-05,0.0,,,29.7,25.5,21.0
2019-07-06,0.0,,,29.7,25.4,21.6
2019-07-07,0.0,137.23440875838287,25.399999618530273,29.6,25.8,21.5
2019-07-08,1.5902244946422452,,,27.9,24.4,20.6
2019-07-09,4.03438966916256,,,27.9,25.1,21.7
2019-07-10,12.151819249201372,137.23440875838287,25.399999618530273,28.9,25.0,21.2
2019-07-11,1.6276701884989546,,,30.5,25.8,21.4
2019-07-12,0.0,,,29.0,25.2,21.3
2019-07-13,0.0,137.23440875838287,25.399999618530273,29.9,25.2,20.4
2019-07-14,0.0,,,30.1,25.7,20.7
2019-07-15,0.4465741715739314,,,29.2,25.7,21.5
2019-07-16,0.7518520431204411,137.23440875838287,25.399999618530273,29.5,25.4,21.2
2019-07-17,0.0,,,30.6,25.4,20.6
2019-07-18,0.6329413593750625,,,29.1,25.1,20.9
2019-07-19,0.0,137.23440875838287,25.399999618530273,29.7,25.6,20.5
2019-07-20,0.0,,,30.3,26.3,21.7
2019-07-21,0.19871040947801383,,,29.9,25.8,21.7
2019-07-22,0.0,137.23440875838287,25.399999618530273,29.1,25.1,21.4
2019-07-23,0.0,,,28.6,25.0,20.8
2019-07-24,1.464561981992663,,,30.1,25.6,21.5
2019-07-25,0.0,137.23440875838287,25.399999618530273,28.9,25.1,21.1
2019-07-26,0.09124238357919429,,,28.7,24.9,20.9
2019-07-27,0.0,,,31.2,26.2,21.9
2019-07-28,0.7429837515544454,137.23440875838287,25.399999618530273,29.7,25.5,21.1
2019-07-29,2.3008348576309925,,,27.0,25.1,22.7
2019-07-30,0.6823558315246987,,,28.5,25.0,20.9
2019-07-31,2.8913327897342023,137.23440875838287,25.399999618530273,28.4,24.9,21.1
2019-08-01,3.98240328934118,,,27.9,25.4,22.2
2019-08-02,0.4412847142878964,,,28.9,25.4,22.0
2019-08-03,0.0,137.23440875838287,25.399999618530273,29.1,25.6,20.9
2019-08-04,10.07899224661721,,,29.8,26.0,21.7
2019-08-05,0.0,,,30.3,26.0,21.2
2019-08-06,0.0,137.23440875838287,25.399999618530273,29.7,25.6,21.3
2019-08-07,0.32707602568112343,,,28.9,25.3,21.8
2019-08-08,0.0,,,29.8,25.5,21.6
2019-08-09,0.0,137.23440875838287,25.399999618530273,28.4,25.2,21.5
2019-08-10,0.0,,,30.0,25.4,21.1
2019-08-11,0.0,,,29.8,25.5,21.0
2019-08-12,0.0,137.23440875838287,25.399999618530273,29.0,25.2,20.5
2019-08-13,0.0,,,29.5,25.6,20.6
2019-08-14,0.014060563783689311,,,30.8,26.0,20.8
2019-08-15,0.0,137.23440875838287,25.399999618530273,30.8,25.7,20.9
2019-08-16,14.681280577999493,,,29.0,25.8,22.0
2019-08-17,1.7030929759770685,,,28.9,24.9,21.0
2019-08-18,2.032764266857266,137.23440875838287,25.399999618530273,27.8,24.9,22.4
2019-08-19,1.6468451162281936,,,29.3,24.9,20.7
2019-08-20,4.210990086027944,,,30.7,25.8,22.0
2019-08-21,0.0,137.23440875838287,25.399999618530273,29.2,25.8,21.2
2019-08-22,1.4789976083259924,,,27.7,24.8,21.7
2019-08-23,0.03621855422007783,,,28.2,25.5,22.0
2019-08-24,0.0,137.23440875838287,25.399999618530273,29.7,25.4,21.7
2019-08-25,0.0,,,29.5,25.7,21.6
2019-08-26,0.0,,,30.4,25.8,21.4
2019-08-27,0.0,137.23440875838287,25.399999618530273,30.5,25.3,20.5
2019-08-28,0.0,,,28.0,25.1,20.7
2019-08-29,1.1472519310335585,,,27.8,24.7,21.4
2019-08-30,0.8424180883980671,137.23440875838287,25.399999618530273,28.8,25.0,21.2
2019-08-31,0.0,,,29.0,25.4,21.9
2019-09-01,0.07253696118956966,,,29.0,25.1,21.2
2019-09-02,0.12213855740759365,137.23440875838287,25.399999618530273,28.8,24.8,20.9
2019-09-03,0.0,,,28.7,26.1,22.5
2019-09-04,0.36989968837370546,,,30.3,25.8,22.1
2019-09-05,0.39070091753161185,137.23440875838287,25.399999618530273,28.6,25.1,21.8
2019-09-06,0.0,,,29.5,25.3,21.3
2019-09-07,2.384878404771779,,,29.1,25.4,21.5
2019-09-08,13.11736025739141,137.23440875838287,25.399999618530273,28.5,25.2,22.1
2019-09-09,5.102212718978121,,,28.5,24.9,21.5
2019-09-10,13.482088685674679,,,28.1,24.4,21.6
2019-09-11,1.2125941599371513,137.23440875838287,25.399999618530273,28.2,24.4,21.3
2019-09-12,0.0,,,28.2,25.6,23.3
2019-09-13,0.0,,,29.1,25.2,21.6
2019-09-14,0.0,137.23440875838287,25.399999618530273,29.4,25.3,21.2
2019-09-15,0.0,,,29.0,24.7,21.0
2019-09-16,0.47393123665093884,,,29.0,25.2,21.9
2019-09-17,0.0,137.23440875838287,25.399999618530273,28.5,25.3,22.1
2019-09-18,9.998958829434198,,,28.5,25.0,22.1
2019-09-19,0.2664332718380291,,,27.0,24.4,21.5
2019-09-20,0.4357702412599244,137.23440875838287,25.399999618530273,26.8,24.2,21.7
2019-09-21,1.8846607646936564,,,25.7,23.9,22.2
2019-09-22,4.1695167188139735,,,27.0,24.8,21.9
2019-09-23,10.18545053809396,137.23440875838287,25.399999618530273,27.4,24.6,22.1
2019-09-24,14.786179442675696,,,26.2,24.7,22.7
2019-09-25,24.998574649203697,,,27.5,24.3,22.1
2019-09-26,12.523499157958275,137.23440875838287,25.399999618530273,24.4,23.3,22.1
2019-09-27,18.24932005312252,,,26.3,24.1,22.8
2019-09-28,1.039883897012001,,,28.2,24.5,21.7
2019-09-29,4.240229656398673,137.23440875838287,25.399999618530273,27.9,24.4,21.8
2019-09-30,3.230597862734012,,,26.1,23.8,21.5
2019-10-01,21.47811793788415,,,26.9,23.8,21.8
2019-10-02,13.798246465641533,137.23440875838287,25.399999618530273,26.8,24.1,22.4
2019-10-03,7.60562230671443,,,27.0,24.6,22.7
2019-10-04,29.975343615743174,,,25.6,24.3,23.3
2019-10-05,16.546571929904875,137.23440875838287,25.399999618530273,27.2,23.9,21.5
2019-10-06,12.13179323615392,,,28.1,24.9,22.2
2019-10-07,0.1555732880962161,,,27.6,24.6,21.7
2019-10-08,0.0,137.23440875838287,25.399999618530273,29.2,24.9,21.1
2019-10-09,8.058950569462143,,,28.0,24.2,21.4
2019-10-10,3.2058725119589733,,,27.9,24.3,21.6
2019-10-11,1.2320439080120398,137.23440875838287,25.399999618530273,27.5,23.5,19.9
2019-10-12,1.8245351734640953,,,27.5,24.0,20.1
2019-10-13,0.0,,,27.9,24.0,20.8
2019-10-14,21.576841031211984,137.23440875838287,25.399999618530273,27.5,24.0,21.2
2019-10-15,0.0,,,27.9,23.9,20.7
2019-10-16,0.6733988197838954,,,27.2,24.0,20.7
2019-10-17,0.0,137.23440875838287,25.399999618530273,27.6,24.1,20.9
2019-10-18,0.0,,,27.2,23.9,20.7
2019-10-19,0.0,,,27.7,24.5,21.3
2019-10-20,0.0,137.23440875838287,25.399999618530273,27.7,23.6,19.1
2019-10-21,19.166881622992555,,,26.0,23.3,21.4
2019-10-22,3.007289043447332,,,26.8,23.7,20.8
2019-10-23,2.183482640715047,137.23440875838287,25.399999618530273,27.1,23.7,21.1
2019-10-24,7.027500415728949,,,26.3,23.3,20.6
2019-10-25,12.009606565349621,,,27.2,22.8,19.8
2019-10-26,7.893591747380592,137.23440875838287,25.399999618530273,27.5,23.8,21.0
2019-10-27,0.0,,,28.5,24.2,20.1
2019-10-28,0.0,,,28.6,24.1,19.5
2019-10-29,2.2943342465799508,137.23440875838287,25.399999618530273,26.9,23.5,21.0
2019-10-30,1.8717210496590737,,,27.4,23.8,21.3
2019-10-31,0.0,,,26.7,23.8,20.9
2019-11-01,4.342588747747809,137.23440875838287,25.399999618530273,27.7,23.8,20.5
2019-11-02,14.510368800351475,,,26.9,23.4,20.4
2019-11-03,0.0,,,27.6,23.6,20.0
2019-11-04,0.0,137.23440875838287,25.399999618530273,27.3,23.1,19.4
2019-11-05,0.0,,,26.9,23.3,20.4
2019-11-06,0.0,,,28.0,23.9,20.3
2019-11-07,0.2965005914226934,137.23440875838287,25.399999618530273,27.8,23.7,20.4
2019-11-08,0.0,,,27.1,23.4,20.3
2019-11-09,0.0,,,27.3,24.0,21.2
2019-11-10,19.416366857274582,137.23440875838287,25.399999618530273,26.7,23.6,20.5
2019-11-11,11.216727605910227,,,27.5,23.6,21.0
2019-11-12,19.67135152806549,,,26.1,23.1,20.3
2019-11-13,9.991030248398088,,,26.4,23.5,21.2
2019-11-14,11.006111392709041,,,26.5,23.1,20.5
2019-11-15,3.876399725300912,,,26.0,23.1,20.4
2019-11-16,0.0,137.23440875838287,25.399999618530273,26.9,23.9,21.2
2019-11-17,27.87753747483348,,,26.0,23.4,20.6
2019-11-18,0.0,,,26.0,23.2,20.6
2019-11-19,0.5899131356850782,137.23440875838287,25.399999618530273,25.6,23.1,20.8
2019-11-20,0.5522301650374921,,,25.3,23.0,20.2
2019-11-21,0.0,,,26.5,23.5,21.5
2019-11-22,0.0,137.23440875838287,25.399999618530273,26.5,22.7,19.6
2019-11-23,0.0,,,25.9,22.5,19.5
2019-11-24,0.0,,,25.8,23.1,19.4
2019-11-25,0.0,137.23440875838287,25.399999618530273,25.4,23.3,20.7
2019-11-26,0.4264501664225161,,,28.2,23.6,20.0
2019-11-27,0.0,,,28.9,24.7,21.7
2019-11-28,0.0,137.23440875838287,25.399999618530273,27.8,24.4,21.6
2019-11-29,0.0,,,26.1,23.1,20.7
2019-11-30,0.0,,,26.5,22.6,20.0
2019-12-01,0.0,137.23440875838287,25.399999618530273,26.0,22.2,17.9
2019-12-02,0.0,,,26.6,22.8,19.8
2019-12-03,0.0,,,26.4,22.8,19.6
2019-12-04,0.0,137.23440875838287,25.399999618530273,26.8,23.0,20.3
2019-12-05,0.0,,,26.2,22.8,19.9
2019-12-06,15.378290443273565,,,27.0,23.5,20.4
2019-12-07,0.0,137.23440875838287,25.399999618530273,26.4,23.8,21.8
2019-12-08,0.0,,,26.4,23.2,20.6
2019-12-09,0.0,,,26.9,23.9,20.2
2019-12-10,0.0,137.23440875838287,25.399999618530273,27.2,22.8,19.7
2019-12-11,0.0,,,26.4,22.6,19.1
2019-12-12,0.0,,,26.4,23.1,20.4
2019-12-13,0.0,137.23440875838287,25.399999618530273,26.0,23.1,20.7
2019-12-14,0.0,,,26.4,22.7,19.3
2019-12-15,0.0,,,26.7,22.8,19.7
2019-12-16,11.937471952532224,,,25.7,23.6,21.4
2019-12-17,0.0,,,26.6,22.8,19.4
2019-12-18,0.0,,,26.7,23.0,19.9
2019-12-19,0.0,,,26.5,22.7,19.8
2019-12-20,0.0,,,26.9,23.0,19.7
2019-12-21,0.0,,,26.9,22.9,20.1
2019-12-22,0.9789044254066163,137.23440875838287,25.399999618530273,26.6,22.6,19.6
2019-12-23,0.0,,,25.6,22.1,19.3
2019-12-24,21.634172737917904,,,24.3,22.6,20.2
2019-12-25,23.126620693520923,,,26.6,23.1,21.1
2019-12-26,0.0,,,25.9,22.9,19.3
2019-12-27,0.0,,,26.1,23.3,20.1
2019-12-28,0.0,137.23440875838287,25.399999618530273,26.3,23.1,20.7
2019-12-29,0.0,,,26.5,22.7,19.5
2019-12-30,0.0,,,26.9,22.2,17.8
2019-12-31,0.0,137.23440875838287,25.399999618530273,26.6,22.1,18.4
2020-01-01,0.0,,,26.6,22.4,19.2
2020-01-02,6.577935010180257,,,27.6,22.7,19.4
2020-01-03,1.3434862396240976,137.23440875838287,25.399999618530273,27.2,22.6,19.3
2020-01-04,0.0,,,27.3,22.7,19.0
2020-01-05,0.0,,,27.6,23.4,20.6
2020-01-06,0.032373974284004854,137.23440875838287,25.399999618530273,25.6,22.1,19.3
2020-01-07,1.0475024290338568,,,25.8,22.6,20.3
2020-01-08,0.0,,,26.3,22.2,18.8
2020-01-09,1.6813552318034308,137.23440875838287,25.399999618530273,26.8,23.6,20.6
2020-01-10,0.025195848104166314,,,27.6,23.7,19.8
2020-01-11,0.0,,,26.9,23.0,19.4
2020-01-12,0.0,137.23440875838287,25.399999618530273,28.2,23.5,19.2
2020-01-13,0.4171017607846997,,,27.3,23.2,18.7
2020-01-14,1.6074174668237997,,,25.9,22.3,19.4
